iter	Passed	Remaining
233	955	3127
234	959	3122
235	963	3117
236	966	3112
237	970	3107
238	974	3101
239	977	3096
240	982	3094
241	987	3094
242	992	3092
243	997	3089
244	1000	3084
245	1004	3078
246	1008	3074
247	1012	3068
248	1016	3064
249	1019	3059
250	1023	3054
251	1027	3049
252	1031	3044
253	1034	3039
254	1038	3033
255	1042	3030
256	1047	3028
257	1051	3025
258	1055	3019
259	1059	3015
260	1063	3010
261	1067	3005
262	1070	3000
263	1074	2995
264	1078	2990
265	1082	2987
266	1092	3000
267	1096	2995
268	1100	2990
269	1103	2983
270	1107	2979
271	1111	2974
272	1114	2968
273	1117	2962
274	1121	2956
275	1124	2950
276	1128	2945
277	1132	2940
278	1136	2935
279	1139	2930
280	1143	2925
281	1146	2920
282	1150	2914
283	1153	2909
284	1158	2905
285	1162	2901
286	1165	2896
287	1168	2889
288	1172	2884
289	1176	2879
290	1179	2874
291	1187	2878
292	1191	2875
293	1199	2879
294	1204	2879
295	1209	2876
296	1213	2873
297	1218	2871
298	1223	2868
299	1227	2865
300	1235	2868
301	1239	2863
302	1243	2859
303	1248	2858
304	1253	2857
305	1258	2855
306	1262	2850
307	1266	2845
308	1270	2840
309	1273	2834
310	1276	2827
311	1279	2822
312	1283	2816
313	1286	2810
314	1290	2807
315	1295	2803
316	1298	2798
317	1303	2795
318	1306	2790
319	1310	2784
320	1314	2779
321	1317	2775
322	1321	2769
323	1324	2763
324	1328	2759
325	1332	2755
326	1336	2750
327	1340	2745
328	1343	2741
329	1347	2736
330	1351	2731
331	1355	2726
332	1358	2721
333	1362	2716
334	1365	2710
335	1369	2705
336	1374	2703
337	1378	2699
338	1382	2694
339	1386	2691
340	1390	2687
341	1395	2684
342	1399	2680
343	1404	2677
344	1407	2672
345	1412	2669
346	1415	2664
347	1419	2659
348	1422	2654
349	1426	2649
350	1430	2644
351	1433	2639
352	1437	2633
353	1440	2628
354	1443	2623
355	1447	2618
356	1451	2613
357	1454	2609
358	1459	2605
359	1462	2600
360	1466	2594
361	1469	2589
362	1473	2585
363	1477	2581
364	1481	2577
365	1485	2573
366	1489	2569
367	1494	2566
368	1498	2562
369	1502	2557
370	1505	2552
371	1509	2547
372	1512	2542
373	1516	2538
374	1520	2533
375	1523	2528
376	1527	2523
377	1530	2518
378	1534	2513
379	1537	2508
380	1541	2504
381	1544	2499
382	1548	2494
383	1551	2489
384	1555	2484
385	1559	2480
386	1562	2475
387	1565	2469
388	1569	2464
389	1572	2460
390	1576	2455
391	1580	2450
392	1583	2446
393	1587	2441
394	1590	2436
395	1594	2431
396	1597	2426
397	1601	2421
398	1604	2416
399	1607	2411
400	1611	2407
401	1614	2401
402	1617	2396
403	1621	2391
404	1624	2387
405	1628	2382
406	1631	2377
407	1634	2372
408	1638	2367
409	1641	2362
410	1645	2358
411	1649	2353
412	1652	2348
413	1656	2344
414	1659	2339
415	1663	2334
416	1666	2329
417	1669	2324
418	1673	2320
419	1677	2316
420	1681	2312
421	1684	2307
422	1688	2303
423	1692	2298
424	1695	2293
425	1698	2289
426	1702	2284
427	1705	2279
428	1709	2274
429	1712	2269
430	1716	2265
431	1719	2260
432	1723	2256
433	1726	2251
434	1730	2247
435	1734	2243
436	1738	2239
437	1766	2266
438	1770	2262
439	1776	2260
440	1781	2257
441	1785	2253
442	1788	2249
443	1792	2244
444	1795	2239
445	1799	2234
446	1803	2230
447	1807	2227
448	1811	2222
449	1814	2218
450	1818	2213
451	1822	2209
452	1826	2204
453	1829	2200
454	1834	2197
455	1843	2199
456	1851	2199
457	1859	2200
458	1865	2199
459	1871	2196
460	1877	2194
461	1882	2192
462	1887	2188
463	1891	2184
464	1895	2180
465	1899	2177
466	1905	2174
467	1909	2170
468	1913	2166
469	1916	2161
470	1920	2156
471	1923	2151
472	1926	2146
473	1929	2141
474	1934	2137
475	1937	2133
476	1941	2128
477	1944	2123
478	1948	2119
479	1952	2114
480	1956	2110
481	1959	2105
482	1963	2101
483	1967	2097
484	1971	2093
485	1975	2089
486	1979	2084
487	1982	2080
488	1986	2075
489	1989	2071
490	1994	2067
491	1998	2063
492	2001	2058
493	2005	2054
494	2009	2049
495	2012	2045
496	2016	2040
497	2020	2036
498	2023	2031
499	2027	2027
500	2031	2023
501	2035	2018
502	2039	2015
503	2042	2010
504	2046	2006
505	2050	2001
506	2054	1997
507	2057	1993
508	2061	1988
509	2064	1983
510	2067	1978
511	2072	1975
512	2076	1970
513	2087	1973
514	2091	1969
515	2094	1964
516	2097	1959
517	2101	1955
518	2104	1950
519	2108	1945
520	2111	1941
521	2114	1936
522	2118	1931
523	2121	1927
524	2124	1922
525	2128	1918
526	2132	1913
527	2136	1909
528	2139	1905
529	2143	1900
530	2146	1896
531	2150	1891
532	2154	1887
533	2157	1882
534	2160	1878
535	2164	1873
536	2168	1869
537	2171	1865
538	2175	1860
539	2179	1856
540	2182	1851
541	2186	1847
542	2189	1843
543	2194	1839
544	2197	1834
545	2201	1830
546	2204	1826
547	2208	1821
548	2211	1816
549	2215	1812
550	2219	1808
551	2223	1804
552	2227	1800
553	2231	1796
554	2235	1792
555	2238	1787
556	2242	1783
557	2245	1778
558	2249	1774
559	2252	1769
560	2256	1765
561	2259	1761
562	2263	1757
563	2267	1752
564	2270	1748
565	2274	1744
566	2278	1739
567	2282	1735
568	2286	1731
569	2290	1727
570	2294	1723
571	2297	1719
572	2301	1715
573	2305	1711
574	2308	1706
575	2312	1702
576	2315	1697
577	2319	1693
578	2323	1689
579	2328	1686
580	2332	1682
581	2336	1678
582	2340	1674
583	2344	1669
584	2349	1666
585	2353	1662
586	2356	1658
587	2360	1654
588	2364	1649
589	2368	1645
590	2372	1642
591	2376	1637
592	2380	1633
593	2384	1629
594	2388	1626
595	2392	1622
596	2396	1618
597	2400	1613
598	2404	1609
599	2408	1605
600	2412	1601
601	2416	1597
602	2419	1593
603	2423	1588
604	2427	1584
605	2430	1580
606	2434	1576
607	2438	1572
608	2443	1568
609	2447	1564
610	2451	1561
611	2456	1557
612	2461	1553
613	2464	1549
614	2468	1545
615	2472	1541
616	2475	1536
617	2479	1532
618	2483	1528
619	2488	1525
620	2492	1520
621	2495	1516
622	2499	1512
623	2503	1508
624	2506	1504
625	2510	1499
626	2514	1495
627	2518	1491
628	2522	1487
629	2526	1483
630	2530	1479
631	2533	1475
632	2537	1471
633	2541	1467
634	2545	1463
635	2549	1459
636	2552	1454
637	2556	1450
638	2560	1446
639	2564	1442
640	2567	1438
641	2571	1434
642	2575	1429
643	2579	1426
644	2583	1422
645	2587	1418
646	2591	1414
647	2595	1409
648	2598	1405
649	2602	1401
650	2606	1397
651	2610	1393
652	2613	1388
653	2617	1384
654	2620	1380
655	2624	1376
656	2628	1372
657	2632	1368
658	2636	1364
659	2640	1360
660	2643	1355
661	2647	1351
662	2651	1347
663	2655	1343
664	2659	1339
665	2662	1335
666	2666	1331
667	2670	1327
668	2674	1323
669	2677	1318
670	2681	1314
671	2685	1310
672	2690	1307
673	2694	1303
674	2698	1299
675	2702	1295
676	2706	1291
677	2710	1287
678	2714	1283
679	2717	1279
680	2722	1275
681	2725	1271
682	2729	1266
683	2733	1262
684	2737	1258
685	2741	1254
686	2745	1250
687	2749	1246
688	2752	1242
689	2757	1238
690	2760	1234
691	2763	1230
692	2767	1225
693	2770	1221
694	2774	1217
695	2777	1213
696	2781	1209
697	2785	1205
698	2788	1200
699	2792	1196
700	2795	1192
701	2799	1188
702	2802	1184
703	2806	1180
704	2810	1175
705	2813	1171
706	2817	1167
707	2820	1163
708	2823	1159
709	2827	1154
710	2830	1150
711	2834	1146
712	2838	1142
713	2842	1138
714	2846	1134
715	2850	1130
716	2853	1126
717	2857	1122
718	2861	1118
719	2866	1114
720	2869	1110
721	2873	1106
722	2879	1103
723	2888	1101
724	2895	1098
725	2898	1094
726	2902	1089
727	2906	1085
728	2909	1081
729	2913	1077
730	2916	1073
731	2920	1069
732	2923	1065
733	2927	1061
734	2931	1057
735	2936	1053
736	2940	1049
737	2944	1045
738	2948	1041
739	2951	1037
740	2955	1032
741	2959	1029
742	2963	1025
743	2967	1020
744	2971	1017
745	2975	1013
746	2979	1009
747	2982	1004
748	2986	1000
749	2989	996
750	2993	992
751	2997	988
752	3000	984
753	3004	980
754	3008	976
755	3012	972
756	3016	968
757	3020	964
758	3023	960
759	3027	956
760	3031	952
761	3035	947
762	3038	943
763	3042	939
764	3046	935
765	3049	931
766	3053	927
767	3057	923
768	3060	919
769	3065	915
770	3068	911
771	3072	907
772	3076	903
773	3079	899
774	3084	895
775	3088	891
776	3092	887
777	3095	883
778	3099	879
779	3103	875
780	3107	871
781	3111	867
782	3114	863
783	3118	859
784	3122	855
785	3126	851
786	3130	847
787	3133	843
788	3137	839
789	3141	835
790	3145	831
791	3149	827
792	3153	823
793	3157	819
794	3160	815
795	3165	811
796	3168	807
797	3172	803
798	3176	799
799	3180	795
800	3183	790
801	3187	786
802	3190	782
803	3194	778
804	3198	774
805	3202	770
806	3205	766
807	3209	762
808	3213	758
809	3216	754
810	3221	750
811	3224	746
812	3227	742
813	3231	738
814	3235	734
815	3239	730
816	3242	726
817	3245	722
818	3249	718
819	3252	714
820	3256	710
821	3260	706
822	3264	702
823	3268	698
824	3273	694
825	3277	690
826	3281	686
827	3285	682
828	3290	678
829	3294	674
830	3298	670
831	3302	666
832	3305	662
833	3309	658
834	3313	654
835	3317	650
836	3321	646
837	3325	642
838	3328	638
839	3332	634
840	3336	630
841	3340	626
842	3344	622
843	3347	618
844	3351	614
845	3355	610
846	3359	606
847	3362	602
848	3366	598
849	3370	594
850	3373	590
851	3377	586
852	3381	582
853	3384	578
854	3388	574
855	3391	570
856	3395	566
857	3398	562
858	3401	558
859	3405	554
860	3408	550
861	3412	546
862	3416	542
863	3420	538
864	3423	534
865	3427	530
866	3430	526
867	3434	522
868	3437	518
869	3441	514
870	3445	510
871	3448	506
872	3452	502
873	3455	498
874	3459	494
875	3462	490
876	3465	486
877	3469	482
878	3473	478
879	3477	474
880	3480	470
881	3484	466
882	3487	462
883	3490	458
884	3493	454
885	3498	450
886	3503	446
887	3507	442
888	3510	438
889	3514	434
890	3517	430
891	3521	426
892	3524	422
893	3527	418
894	3530	414
895	3534	410
896	3537	406
897	3541	402
898	3544	398
899	3548	394
900	3552	390
901	3555	386
902	3559	382
903	3562	378
904	3565	374
905	3569	370
906	3572	366
907	3576	362
908	3579	358
909	3583	354
910	3587	350
911	3590	346
912	3593	342
913	3597	338
914	3600	334
915	3604	330
916	3607	326
917	3611	322
918	3614	318
919	3617	314
920	3621	310
921	3624	306
922	3628	302
923	3631	298
924	3635	294
925	3639	290
926	3642	286
927	3646	282
928	3650	278
929	3653	275
930	3656	271
931	3661	267
932	3665	263
933	3669	259
934	3674	255
935	3678	251
936	3682	247
937	3685	243
938	3689	239
939	3692	235
940	3697	231
941	3707	228
942	3712	224
943	3716	220
944	3719	216
945	3723	212
946	3726	208
947	3730	204
948	3734	200
949	3737	196
950	3741	192
951	3744	188
952	3748	184
953	3751	180
954	3755	176
955	3758	173
956	3762	169
957	3766	165
958	3770	161
959	3773	157
960	3777	153
961	3780	149
962	3783	145
963	3787	141
964	3790	137
965	3794	133
966	3797	129
967	3801	125
968	3804	121
969	3808	117
970	3812	113
971	3815	109
972	3819	105
973	3822	102
974	3825	98
975	3828	94
976	3832	90
977	3835	86
978	3839	82
979	3842	78
980	3846	74
981	3849	70
982	3852	66
983	3855	62
984	3859	58
985	3862	54
986	3866	50
987	3869	47
988	3873	43
989	3877	39
990	3881	35
991	3886	31
992	3890	27
993	3893	23
994	3897	19
995	3900	15
996	3904	11
997	3907	7
998	3911	3
999	3914	0
